epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,200.812,0.7292,1.11386,0.52211,0.91116,0.79619,0.70378,0.75778,0.53373,0.73661,0.65378,0.7249,0.48271,1.08266,1.98907,0.90022,1.10108,0.00087875,0.00087875,0.00087875
62,203.865,0.75342,1.12364,0.5204,0.91516,0.67863,0.69827,0.70786,0.52494,0.66666,0.60354,0.67716,0.47385,1.11166,1.93,0.9278,1.11891,0.000872563,0.000872563,0.000872563
63,206.909,0.74982,1.12446,0.51321,0.91217,0.69723,0.68867,0.67247,0.51023,0.62773,0.63155,0.65988,0.48014,1.04653,1.90428,0.98842,1.10723,0.000866375,0.000866375,0.000866375
64,210.014,0.73997,1.0935,0.51252,0.91555,0.75186,0.70857,0.70993,0.52915,0.64539,0.66609,0.68994,0.45274,1.03895,2.03539,0.89482,1.13814,0.000860188,0.000860188,0.000860188
65,213.047,0.72445,1.05937,0.50099,0.9104,0.73493,0.72196,0.70643,0.518,0.73954,0.72751,0.71948,0.4623,1.02457,2.04412,0.87267,1.09772,0.000854,0.000854,0.000854
66,216.209,0.68782,1.01604,0.50516,0.8958,0.74265,0.78406,0.74397,0.51892,0.57455,0.77869,0.69682,0.47123,1.11481,2.01649,0.97873,1.13251,0.000847813,0.000847813,0.000847813
67,219.263,0.73722,1.05003,0.51581,0.91145,0.78029,0.78011,0.74336,0.5499,0.78145,0.78196,0.76152,0.47637,1.02238,2.09259,0.80708,1.10115,0.000841625,0.000841625,0.000841625
68,222.322,0.75447,1.07687,0.52306,0.91504,0.73903,0.73113,0.73293,0.5356,0.67665,0.6564,0.73018,0.48215,1.02525,2.13757,0.84464,1.08984,0.000835438,0.000835438,0.000835438
69,225.332,0.68418,0.99822,0.47953,0.89658,0.63466,0.65681,0.68907,0.51996,0.5863,0.79863,0.7134,0.47295,1.09339,2.26111,1.03911,1.12557,0.00082925,0.00082925,0.00082925
70,228.375,0.6805,1.00688,0.47514,0.89773,0.5862,0.74561,0.6817,0.51316,0.60963,0.79709,0.69163,0.46511,1.07003,2.3478,0.93497,1.13041,0.000823063,0.000823063,0.000823063
71,231.459,0.68697,1.00128,0.47699,0.89192,0.61185,0.69775,0.66618,0.48483,0.68676,0.68168,0.67945,0.47117,1.10929,2.22802,1.0178,1.1322,0.000816875,0.000816875,0.000816875
72,234.564,0.7037,1.01018,0.49164,0.89259,0.68533,0.6944,0.72691,0.54382,0.69005,0.69995,0.73962,0.47181,1.01005,2.12573,0.89921,1.09495,0.000810688,0.000810688,0.000810688
73,237.578,0.69848,1.0167,0.4787,0.90581,0.70936,0.69822,0.75041,0.55211,0.63845,0.84122,0.76336,0.49465,1.02264,2.05198,0.8432,1.10587,0.0008045,0.0008045,0.0008045
74,240.63,0.64129,0.95637,0.43938,0.87904,0.75685,0.74664,0.76888,0.53793,0.76017,0.75034,0.76587,0.50169,1.08738,1.89579,0.86851,1.1306,0.000798313,0.000798313,0.000798313
75,243.695,0.6367,0.99506,0.44682,0.88767,0.69921,0.76208,0.72489,0.5455,0.67689,0.71208,0.7136,0.49334,1.01049,1.92502,0.89791,1.11234,0.000792125,0.000792125,0.000792125
76,246.805,0.65029,0.99665,0.4338,0.88212,0.73401,0.69205,0.72158,0.55721,0.73586,0.6939,0.73378,0.49458,0.99348,2.02622,0.86392,1.11009,0.000785938,0.000785938,0.000785938
77,250.154,0.64046,1.00764,0.45388,0.87742,0.78005,0.74357,0.77735,0.56248,0.78166,0.74543,0.77769,0.51247,1.03423,2.06585,0.91108,1.11313,0.00077975,0.00077975,0.00077975
78,253.39,0.63383,0.96334,0.44305,0.87714,0.71085,0.68772,0.7364,0.51857,0.78111,0.73099,0.74884,0.46422,1.0518,2.41931,1.0483,1.109,0.000773563,0.000773563,0.000773563
79,256.511,0.64572,0.9683,0.44757,0.87734,0.74685,0.6676,0.71362,0.49742,0.82814,0.71217,0.76216,0.46786,1.07075,2.27733,0.98357,1.12506,0.000767375,0.000767375,0.000767375
80,259.692,0.66231,0.98693,0.46018,0.88256,0.67505,0.76497,0.71318,0.52247,0.77173,0.75383,0.7596,0.48726,1.02899,2.39949,0.99426,1.11948,0.000761188,0.000761188,0.000761188
81,262.81,0.6589,1.02057,0.4626,0.87846,0.54286,0.79678,0.68594,0.51431,0.57404,0.72758,0.68681,0.46148,0.99878,2.28494,1.05213,1.09958,0.000755,0.000755,0.000755
82,265.899,0.65126,1.04724,0.46258,0.88198,0.62104,0.78377,0.69964,0.51797,0.61945,0.78191,0.70336,0.47638,1.04968,1.97935,0.90475,1.11289,0.000748813,0.000748813,0.000748813
83,268.981,0.67396,0.99443,0.46016,0.88022,0.74948,0.75419,0.72397,0.54558,0.76448,0.75363,0.76011,0.50225,1.06915,1.99262,0.89351,1.11448,0.000742625,0.000742625,0.000742625
84,272.112,0.66965,1.01427,0.44823,0.87407,0.63605,0.83765,0.73294,0.52723,0.63624,0.83761,0.73203,0.47574,1.07661,2.17179,0.99939,1.1437,0.000736438,0.000736438,0.000736438
85,275.198,0.64583,0.99168,0.45502,0.88219,0.67633,0.819,0.74125,0.55401,0.67733,0.82037,0.74366,0.49743,1.0961,2.02065,0.90829,1.15255,0.00073025,0.00073025,0.00073025
