epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
106,207.23,0.61439,0.3999,0.85102,0.77104,0.75652,0.79963,0.55404,1.0124,1.01232,1.07137,0.000600313,0.000600313,0.000600313
107,209.058,0.61302,0.39431,0.84571,0.82352,0.76145,0.79536,0.55842,0.99799,0.89948,1.08373,0.000594125,0.000594125,0.000594125
108,210.879,0.61442,0.40126,0.85174,0.8413,0.813,0.82763,0.57655,1.01489,0.8659,1.07292,0.000587938,0.000587938,0.000587938
109,212.744,0.63856,0.41167,0.85422,0.84172,0.81301,0.82109,0.57098,1.00825,0.85778,1.07587,0.00058175,0.00058175,0.00058175
110,214.51,0.59273,0.39609,0.85187,0.83156,0.75706,0.79766,0.5668,1.02824,0.86925,1.07936,0.000575563,0.000575563,0.000575563
111,216.302,0.58848,0.38351,0.83637,0.74229,0.82882,0.7935,0.54357,1.05694,0.89452,1.10074,0.000569375,0.000569375,0.000569375
112,218.173,0.5911,0.38918,0.84859,0.78739,0.75408,0.78039,0.55282,1.02535,0.88912,1.0622,0.000563187,0.000563187,0.000563187
113,219.989,0.576,0.37637,0.84253,0.84475,0.69317,0.75639,0.56685,0.99565,0.84563,1.02475,0.000557,0.000557,0.000557
114,221.87,0.59358,0.38144,0.84251,0.79884,0.70162,0.74904,0.57414,0.97952,0.86668,1.01978,0.000550813,0.000550813,0.000550813
115,223.645,0.57082,0.37335,0.83712,0.7257,0.69731,0.74861,0.56733,0.99047,0.8815,1.03819,0.000544625,0.000544625,0.000544625
116,225.459,0.60673,0.38334,0.84716,0.66677,0.84493,0.7696,0.57095,0.99444,0.84924,1.03088,0.000538438,0.000538438,0.000538438
117,227.24,0.6008,0.3835,0.84483,0.65116,0.77705,0.73693,0.55159,0.97448,0.8814,1.01726,0.00053225,0.00053225,0.00053225
118,229,0.56709,0.36552,0.83815,0.75877,0.83425,0.79816,0.55835,1.00415,0.91954,1.03888,0.000526063,0.000526063,0.000526063
119,230.79,0.56745,0.37239,0.838,0.8148,0.83558,0.81067,0.57695,0.99209,0.89508,1.02979,0.000519875,0.000519875,0.000519875
120,232.64,0.57575,0.36235,0.84428,0.83967,0.82295,0.8293,0.58577,1.00926,0.82089,1.04279,0.000513688,0.000513688,0.000513688
121,234.449,0.55946,0.35749,0.83683,0.82753,0.80334,0.81817,0.5977,1.00921,0.88307,1.04798,0.0005075,0.0005075,0.0005075
122,236.397,0.56916,0.36797,0.83825,0.74658,0.81023,0.80004,0.58866,1.02854,0.91084,1.05562,0.000501313,0.000501313,0.000501313
123,238.201,0.55454,0.35624,0.82918,0.75596,0.76023,0.77775,0.57222,1.00891,0.89031,1.03999,0.000495125,0.000495125,0.000495125
124,240.028,0.55267,0.35304,0.8313,0.76317,0.75609,0.78026,0.57471,1.00705,0.87499,1.04311,0.000488938,0.000488938,0.000488938
125,241.792,0.5568,0.35478,0.83164,0.73666,0.7646,0.77035,0.56782,1.01877,0.89038,1.0383,0.00048275,0.00048275,0.00048275
126,243.545,0.57797,0.37018,0.8383,0.76249,0.76823,0.78307,0.58396,0.99065,0.85395,1.03057,0.000476562,0.000476562,0.000476562
127,245.324,0.55796,0.35412,0.83328,0.86387,0.68269,0.7712,0.57689,1.0146,0.88487,1.04592,0.000470375,0.000470375,0.000470375
128,247.175,0.548,0.35437,0.8363,0.66616,0.82295,0.75459,0.54429,1.04343,0.9104,1.07254,0.000464188,0.000464188,0.000464188
129,248.971,0.56025,0.36181,0.83992,0.67944,0.82508,0.76063,0.54956,1.05957,0.97164,1.06411,0.000458,0.000458,0.000458
130,250.913,0.54259,0.35515,0.82722,0.72259,0.7998,0.76508,0.56016,1.03395,0.90996,1.04788,0.000451813,0.000451813,0.000451813
131,252.691,0.54738,0.35216,0.83003,0.70399,0.81212,0.77718,0.5641,1.05416,0.8771,1.06039,0.000445625,0.000445625,0.000445625
132,254.537,0.54666,0.35241,0.83203,0.84096,0.83069,0.83717,0.6087,1.01034,0.89367,1.03192,0.000439437,0.000439437,0.000439437
133,256.433,0.55321,0.35116,0.83182,0.86448,0.81298,0.83021,0.60669,0.96805,0.85448,1.01738,0.00043325,0.00043325,0.00043325
134,258.221,0.55606,0.36572,0.84052,0.87351,0.74887,0.82229,0.60779,0.95434,0.8472,1.01447,0.000427062,0.000427062,0.000427062
135,260.01,0.53549,0.35129,0.82805,0.8648,0.76405,0.82556,0.60512,0.97209,0.81099,1.02156,0.000420875,0.000420875,0.000420875
136,261.814,0.53759,0.35046,0.82954,0.77336,0.75628,0.79355,0.58437,0.98815,0.83238,1.01695,0.000414688,0.000414688,0.000414688
137,263.648,0.54239,0.3508,0.83226,0.7326,0.80628,0.78769,0.58612,0.95916,0.84761,1.01307,0.0004085,0.0004085,0.0004085
